job_id,com_id,pos_id,area_id
91171077,9911779,250507,28
79422448,69129406,250507,290
76821028,69129406,250507,290
76078211,500296,250507,240
91529993,9620473,250507,33
91505972,2765181,250507,49
91496866,2765181,250507,18
91438971,9620473,250507,17
91438966,9620473,250507,31
91438845,9620473,250507,17
91438843,9620473,250507,17
91428296,73150402,250507,113
91428265,73150402,250507,130
91428261,73150402,250507,113
86009022,51547901,250507,141
86009014,51547901,250507,141
79583441,1253747,250507,25
77223639,68645231,250507,7
76282261,68648779,250507,113
75767071,36066712,250507,239
91527467,2765181,250507,61
91522565,2765181,250507,57
86032684,69649513,250507,19
85125825,305059,250507,43
85068824,69358738,250507,263
85043845,51570136,250507,162
84823434,10067448,250507,281
79637949,35865473,250507,13
79519092,36066712,250507,239
77002012,1020258,250507,18
77002004,1020258,250507,18
76854234,9591009,250507,9
76713149,69358738,250507,263
57030453,48931486,250507,112
91531650,73194412,250507,143
91281703,2765181,250507,293
85087716,71716630,250507,17
79583514,1253747,250507,28
78997626,49860195,250507,116
76533578,50577433,250507,27
55148602,50577433,250507,27
91511153,50941835,250507,237
91496865,68858027,250507,18
91462172,50495484,250507,49
86010434,71529084,250507,19
86001037,50495484,250507,59
85917098,71529084,250507,49
85185938,49830011,250507,61
79955443,50135598,250507,190
78510814,9912638,250507,65
77760948,9591009,250507,27
77253589,9591009,250507,27
76739921,9591009,250507,9
76645251,9591009,250507,13
76581611,9591009,250507,13
59206206,2902188,250507,117
91426976,73173624,250507,25
85923833,9782079,250507,17
84995850,69588174,250507,128
80175604,49860195,250507,107
79797657,2765181,250507,281
75853749,10390467,250507,119
76807816,33867697,250507,254
85048585,1095175,250507,225
91217248,305059,250507,18
91254691,1281354,250507,68
85967090,50030756,250507,56
85967087,50030756,250507,48
85042593,305059,250507,27
84876152,305059,250507,27
84863479,305059,250507,18
84857850,305059,250507,29
76036631,305059,250507,9
55215434,305059,250507,18
54957815,50030756,250507,48
77038887,51688846,250507,221
85988586,1253747,250507,263
